,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
FNAME,UI_Idle,Stand_Rest_Stationary,FPS_Stand_Idle,Crouch_Rest_Stationary,FPS_Crouch_Idle,Prone_Aim_Stationary,FPS_Prone_Idle,Stand_Aim_Stationary,FPS_Stand_Aim,Run_Aim,FPS_Run_Aim,Crouch_Aim_Moving,FPS_Crouch_Aim,Prone_Aim_Stationary,"FPS_Prone_Aim (Duplicate of 7, Unused)",Stand_Reload_Stationary,FPS_Stand_Reload,Stand_Reload_Moving,FPS_Run_Reload,Crouch_Reload_Stationary,FPS_Crouch_Reload,Prone_Reload_Stationary,FPS_Prone_Reload_Stationary,Stand_Shooting_Stationary,FPS_Stand_Shooting_Stationary,Stand_Shooting_Moving,FPS_Stand_Shooting_Moving,Crouch_Shooting_Stationary,FPS_Crouch_Shooting_Stationary,Prone_Shooting_Stationary,FPS_Prone_Shooting_Stationary,Stand_Rest_Moving,FPS_Run_Blend,Stand_Rest_Sprint,FPS_Sprint_Blend,Crouch_Rest_Moving (altered due to shoot issues),FPS_Crouch_Blend,Prone_Blend,FPS_Prone_Blend,Prone_to_Stand,FPS_Prone_to_Stand,Stand_to_Prone,FPS_Stand_to_Prone,Crouch_Aim_Stationary,Prone_Aim_Stationary,Prone_to_Crouch,FPS_Prone_to_Crouch,Crouch_to_Prone,FPS_Crouch_to_Prone,Crouch_Reload_Moving,Crouch_Shoot_Moving,Stand_Jump_Stationary_Start,Stand_Jump_Stationary_Air,Stand_Jump_Stationary_Fall,Stand_Jump_Stationary_Land,Stand_Jump_Moving_Start,Stand_Jump_Moving_Air,Stand_Jump_Moving_Fall,Stand_Jump_Moving_Land,Stand_Jump_Sprint_Start,Stand_Jump_Sprint_Air,Stand_Jump_Sprint_Fall,Stand_Jump_Sprint_Land,FPS_Crouch_Reload_Moving ,FPS_Crouch_Shoot_Moving,FPS_AttmMenu_Rise,FPS_AttmMenu_Idle,Grenade Stand Pull,FPS Grenade Stand Pull,Grenade Stand Hold,FPS Grenade Stand Hold,Grenade Stand Release,FPS Grenade Stand Release,Grenade Crouch Pull,FPS Grenade Crouch Pull,Grenade Stand Hold,FPS Grenade Crouch Hold,Grenade Crouch Release,FPS Grenade Crouch Release,Grenade Prone Pull,FPS Grenade Prone Pull,Grenade Prone Hold,FPS Grenade Prone Hold,Grenade Prone Release,FPS Grenade Prone Release
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG_45APC_Tier1,none,idle_stand_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,idle_crouch_HG_Auto,FPS_aimIdle_crouch_HG_9mm,aimidle_prone_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,aimidle_standIdle_HG_Auto,none,aimidle_runBlend_HG_Auto,none,aimidle_crouchBlend_HG_Auto,none,aimidle_prone_HG_Auto,none,reload_stand_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_runBlend_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_crouch_HG_Auto,FPS_reload_crouch_HG_9mm,reload_prone_HG_Auto,FPS_reload_standIdle_HG_9mm,aimShoot_standIdle_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_runBlend_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_crouch_HG_Auto,FPS_aimShoot_crouch_HG_9mm,aimShoot_prone_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,Run_Blend_HG_Auto,FPS_Run_Blend_HG_9mm,Sprint_Blend_HG_Mold,FPS_Sprint_Blend_HG_9mm,aimIdle_crouchBlend_HG_Auto,FPS_Crouch_Blend_HG_9mm,Prone_Blend_ASR,FPS_Prone_Blend_ASR,prone_to_stand_HG_Auto,FPS_Stand_to_Prone,Stand_to_Prone_HG_Auto,FPS_Stand_to_Prone,aimIdle_crouch_HG_Auto,aimidle_prone_HG_Auto,prone_to_crouch_HG_Auto,none,crouch_to_prone_HG_Auto,none,reload_crouchBlend_HG_Auto,aimshoot_crouchBlend_HG_Auto,Jump_ASR_Idle_S,Jump_ASR_Idle_A,Jump_ASR_Idle_F,Jump_ASR_Idle_L,Jump_Hand_Run_S,Jump_Hand_Run_A,Jump_Hand_Run_F,Jump_Hand_Run_L,Jump_Hand_Sprint_S,Jump_Hand_Sprint_A,Jump_Hand_Sprint_F,Jump_Hand_Sprint_L,FPS_reload_crouch_HG_9mm,FPS_aimShoot_crouch_HG_9mm,FPS_Attach_Raise_HG_9mm,FPS_Attach_Idle_HG_9mm,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
HG_45APC_Tier2,none,idle_stand_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,idle_crouch_HG_Auto,FPS_aimIdle_crouch_HG_9mm,aimidle_prone_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,aimidle_standIdle_HG_Auto,none,aimidle_runBlend_HG_Auto,none,aimidle_crouchBlend_HG_Auto,none,aimidle_prone_HG_Auto,none,reload_stand_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_runBlend_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_crouch_HG_Auto,FPS_reload_crouch_HG_9mm,reload_prone_HG_Auto,FPS_reload_standIdle_HG_9mm,aimShoot_standIdle_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_runBlend_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_crouch_HG_Auto,FPS_aimShoot_crouch_HG_9mm,aimShoot_prone_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,Run_Blend_HG_Auto,FPS_Run_Blend_HG_9mm,Sprint_Blend_HG_Mold,FPS_Sprint_Blend_HG_9mm,aimIdle_crouchBlend_HG_Auto,FPS_Crouch_Blend_HG_9mm,Prone_Blend_ASR,FPS_Prone_Blend_ASR,prone_to_stand_HG_Auto,FPS_Stand_to_Prone,Stand_to_Prone_HG_Auto,FPS_Stand_to_Prone,aimIdle_crouch_HG_Auto,aimidle_prone_HG_Auto,prone_to_crouch_HG_Auto,none,crouch_to_prone_HG_Auto,none,reload_crouchBlend_HG_Auto,aimshoot_crouchBlend_HG_Auto,Jump_ASR_Idle_S,Jump_ASR_Idle_A,Jump_ASR_Idle_F,Jump_ASR_Idle_L,Jump_Hand_Run_S,Jump_Hand_Run_A,Jump_Hand_Run_F,Jump_Hand_Run_L,Jump_Hand_Sprint_S,Jump_Hand_Sprint_A,Jump_Hand_Sprint_F,Jump_Hand_Sprint_L,FPS_reload_crouch_HG_9mm,FPS_aimShoot_crouch_HG_9mm,FPS_Attach_Raise_HG_9mm,FPS_Attach_Idle_HG_9mm,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
HG_45APC_Mk6_1,none,idle_stand_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,idle_crouch_HG_Auto,FPS_aimIdle_crouch_HG_9mm,aimidle_prone_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,aimidle_standIdle_HG_Auto,none,aimidle_runBlend_HG_Auto,none,aimidle_crouchBlend_HG_Auto,none,aimidle_prone_HG_Auto,none,reload_stand_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_runBlend_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_crouch_HG_Auto,FPS_reload_crouch_HG_9mm,reload_prone_HG_Auto,FPS_reload_standIdle_HG_9mm,aimShoot_standIdle_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_runBlend_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_crouch_HG_Auto,FPS_aimShoot_crouch_HG_9mm,aimShoot_prone_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,Run_Blend_HG_Auto,FPS_Run_Blend_HG_9mm,Sprint_Blend_HG_Mold,FPS_Sprint_Blend_HG_9mm,aimIdle_crouchBlend_HG_Auto,FPS_Crouch_Blend_HG_9mm,Prone_Blend_ASR,FPS_Prone_Blend_ASR,prone_to_stand_HG_Auto,FPS_Stand_to_Prone,Stand_to_Prone_HG_Auto,FPS_Stand_to_Prone,aimIdle_crouch_HG_Auto,aimidle_prone_HG_Auto,prone_to_crouch_HG_Auto,none,crouch_to_prone_HG_Auto,none,reload_crouchBlend_HG_Auto,aimshoot_crouchBlend_HG_Auto,Jump_ASR_Idle_S,Jump_ASR_Idle_A,Jump_ASR_Idle_F,Jump_ASR_Idle_L,Jump_Hand_Run_S,Jump_Hand_Run_A,Jump_Hand_Run_F,Jump_Hand_Run_L,Jump_Hand_Sprint_S,Jump_Hand_Sprint_A,Jump_Hand_Sprint_F,Jump_Hand_Sprint_L,FPS_reload_crouch_HG_9mm,FPS_aimShoot_crouch_HG_9mm,FPS_Attach_Raise_HG_9mm,FPS_Attach_Idle_HG_9mm,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG_9B_Mk6_1,none,idle_stand_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,idle_crouch_HG_Auto,FPS_aimIdle_crouch_HG_9mm,aimidle_prone_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,aimidle_standIdle_HG_Auto,none,aimidle_runBlend_HG_Auto,none,aimidle_crouchBlend_HG_Auto,none,aimidle_prone_HG_Auto,none,reload_stand_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_runBlend_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_crouch_HG_Auto,FPS_reload_crouch_HG_9mm,reload_prone_HG_Auto,FPS_reload_standIdle_HG_9mm,aimShoot_standIdle_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_runBlend_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_crouch_HG_Auto,FPS_aimShoot_crouch_HG_9mm,aimShoot_prone_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,Run_Blend_HG_Auto,FPS_Run_Blend_HG_9mm,Sprint_Blend_HG_Mold,FPS_Sprint_Blend_HG_9mm,aimIdle_crouchBlend_HG_Auto,FPS_Crouch_Blend_HG_9mm,Prone_Blend_ASR,FPS_Prone_Blend_ASR,prone_to_stand_HG_Auto,FPS_Stand_to_Prone,Stand_to_Prone_HG_Auto,FPS_Stand_to_Prone,aimIdle_crouch_HG_Auto,aimidle_prone_HG_Auto,prone_to_crouch_HG_Auto,none,crouch_to_prone_HG_Auto,none,reload_crouchBlend_HG_Auto,aimshoot_crouchBlend_HG_Auto,Jump_ASR_Idle_S,Jump_ASR_Idle_A,Jump_ASR_Idle_F,Jump_ASR_Idle_L,Jump_Hand_Run_S,Jump_Hand_Run_A,Jump_Hand_Run_F,Jump_Hand_Run_L,Jump_Hand_Sprint_S,Jump_Hand_Sprint_A,Jump_Hand_Sprint_F,Jump_Hand_Sprint_L,FPS_reload_crouch_HG_9mm,FPS_aimShoot_crouch_HG_9mm,FPS_Attach_Raise_HG_9mm,FPS_Attach_Idle_HG_9mm,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
HG_9B_Tier1,none,idle_stand_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,idle_crouch_HG_Auto,FPS_aimIdle_crouch_HG_9mm,aimidle_prone_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,aimidle_standIdle_HG_Auto,none,aimidle_runBlend_HG_Auto,none,aimidle_crouchBlend_HG_Auto,none,aimidle_prone_HG_Auto,none,reload_stand_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_runBlend_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_crouch_HG_Auto,FPS_reload_crouch_HG_9mm,reload_prone_HG_Auto,FPS_reload_standIdle_HG_9mm,aimShoot_standIdle_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_runBlend_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_crouch_HG_Auto,FPS_aimShoot_crouch_HG_9mm,aimShoot_prone_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,Run_Blend_HG_Auto,FPS_Run_Blend_HG_9mm,Sprint_Blend_HG_Mold,FPS_Sprint_Blend_HG_9mm,aimIdle_crouchBlend_HG_Auto,FPS_Crouch_Blend_HG_9mm,Prone_Blend_ASR,FPS_Prone_Blend_ASR,prone_to_stand_HG_Auto,FPS_Stand_to_Prone,Stand_to_Prone_HG_Auto,FPS_Stand_to_Prone,aimIdle_crouch_HG_Auto,aimidle_prone_HG_Auto,prone_to_crouch_HG_Auto,none,crouch_to_prone_HG_Auto,none,reload_crouchBlend_HG_Auto,aimshoot_crouchBlend_HG_Auto,Jump_ASR_Idle_S,Jump_ASR_Idle_A,Jump_ASR_Idle_F,Jump_ASR_Idle_L,Jump_Hand_Run_S,Jump_Hand_Run_A,Jump_Hand_Run_F,Jump_Hand_Run_L,Jump_Hand_Sprint_S,Jump_Hand_Sprint_A,Jump_Hand_Sprint_F,Jump_Hand_Sprint_L,FPS_reload_crouch_HG_9mm,FPS_aimShoot_crouch_HG_9mm,FPS_Attach_Raise_HG_9mm,FPS_Attach_Idle_HG_9mm,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
HG_9B_Tier2,none,idle_stand_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,idle_crouch_HG_Auto,FPS_aimIdle_crouch_HG_9mm,aimidle_prone_HG_Auto,FPS_aimIdle_standIdle_HG_9mm,aimidle_standIdle_HG_Auto,none,aimidle_runBlend_HG_Auto,none,aimidle_crouchBlend_HG_Auto,none,aimidle_prone_HG_Auto,none,reload_stand_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_runBlend_HG_Auto,FPS_reload_standIdle_HG_9mm,reload_crouch_HG_Auto,FPS_reload_crouch_HG_9mm,reload_prone_HG_Auto,FPS_reload_standIdle_HG_9mm,aimShoot_standIdle_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_runBlend_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,aimShoot_crouch_HG_Auto,FPS_aimShoot_crouch_HG_9mm,aimShoot_prone_HG_Auto,FPS_aimShoot_standIdle_HG_9mm,Run_Blend_HG_Auto,FPS_Run_Blend_HG_9mm,Sprint_Blend_HG_Mold,FPS_Sprint_Blend_HG_9mm,aimIdle_crouchBlend_HG_Auto,FPS_Crouch_Blend_HG_9mm,Prone_Blend_ASR,FPS_Prone_Blend_ASR,prone_to_stand_HG_Auto,FPS_Stand_to_Prone,Stand_to_Prone_HG_Auto,FPS_Stand_to_Prone,aimIdle_crouch_HG_Auto,aimidle_prone_HG_Auto,prone_to_crouch_HG_Auto,none,crouch_to_prone_HG_Auto,none,reload_crouchBlend_HG_Auto,aimshoot_crouchBlend_HG_Auto,Jump_ASR_Idle_S,Jump_ASR_Idle_A,Jump_ASR_Idle_F,Jump_ASR_Idle_L,Jump_Hand_Run_S,Jump_Hand_Run_A,Jump_Hand_Run_F,Jump_Hand_Run_L,Jump_Hand_Sprint_S,Jump_Hand_Sprint_A,Jump_Hand_Sprint_F,Jump_Hand_Sprint_L,FPS_reload_crouch_HG_9mm,FPS_aimShoot_crouch_HG_9mm,FPS_Attach_Raise_HG_9mm,FPS_Attach_Idle_HG_9mm,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
