Source State,Target State,"Blend Time (in seconds), default is 0.1"
PLAYER_IDLE,PLAYER_IDLE,0.1
PLAYER_IDLEAIM,PLAYER_IDLE,0.2
,,
PLAYER_MOVE_CROUCH_AIM,PLAYER_IDLE,0.1
PLAYER_MOVE_WALK_AIM,PLAYER_IDLE,0.1
PLAYER_MOVE_RUN,PLAYER_IDLE,0.1
PLAYER_MOVE_SPRINT,PLAYER_IDLE,0.2
PLAYER_MOVE_PRONE,PLAYER_IDLE,0.1
PLAYER_PRONE_AIM,PLAYER_IDLE,0.1
PLAYER_PRONE_UP,PLAYER_IDLE,0.1
PLAYER_PRONE_DOWN,PLAYER_IDLE,0.1
PLAYER_PRONE_IDLE,PLAYER_IDLE,0.1
PLAYER_SWIM_IDLE,PLAYER_IDLE,0.1
PLAYER_SWIM_SLOW,PLAYER_IDLE,0.1
PLAYER_SWIM,PLAYER_IDLE,0.1
PLAYER_SWIM_FAST,PLAYER_IDLE,0.1
PLAYER_VEHICLE_DRIVER,PLAYER_IDLE,0.1
PLAYER_VEHICLE_PASSENGER,PLAYER_IDLE,0.1
PLAYER_DIE,PLAYER_IDLE,0.1
PLAYER_IDLE,PLAYER_MOVE_RUN,0.1
PLAYER_MOVE_RUN,PLAYER_MOVE_SPRINT,0.2
PLAYER_IDLE,PLAYER_IDLEAIM,0.125
PLAYER_MOVE_RUN,PLAYER_MOVE_WALK_AIM,0.125
PLAYER_MOVE_PRONE,PLAYER_PRONE_AIM,0.125
PLAYER_PRONE_IDLE,PLAYER_PRONE_AIM,0.125
PLAYER_MOVE_CROUCH,PLAYER_MOVE_CROUCH_AIM,0.15
PLAYER_IDLE,PLAYER_MOVE_CROUCH,0.125
PLAYER_MOVE_CROUCH,PLAYER_IDLE,0.125
PLAYER_MOVE_PRONE,PLAYER_PRONE_IDLE,0.125
PLAYER_PRONE_IDLE,PLAYER_MOVE_PRONE,0.125
PLAYER_MOVE_RUN,PLAYER_MOVE_CROUCH,0.125
PLAYER_IDLE,PLAYER_MOVE_CROUCH,0.125
PLAYER_IDLE,PLAYER_MOVE_SPRINT,0.2
